"","x"
"1","1171503902547574789"
"2","1171503734859259909"
"3","1171503084582817797"
"4","1171501761917440005"
"5","1171286693770645507"
"6","1171501715373219841"
"7","1171501365710819329"
"8","1171501170109476867"
"9","1171500411288580097"
"10","1171500112398315522"
"11","1171499582582218752"
"12","1171498644278669317"
"13","1171497445747937280"
"14","1171406690731864066"
"15","1171209896735518726"
"16","1171392553620561920"
"17","1171202540677074945"
"18","1171295312377520128"
"19","1171181877979467777"
"20","1171388156857524234"
"21","1171387455335010304"
"22","1171383723440390144"
"23","1171383512659898369"
"24","1171388498949083137"
"25","1171406230037962752"
"26","1171415466763542528"
"27","1171416052892409856"
"28","1171497327388815360"
"29","1171209138401173504"
"30","1171211429841645568"
"31","1171208883341275137"
"32","1171208819491446785"
"33","1171415043570880517"
"34","1171496956666867719"
"35","1171495763961999367"
"36","1171495287245832193"
"37","1171494664689471488"
"38","1171494272547164161"
"39","1171494217601843200"
"40","1171494077864394755"
"41","1171492593055621120"
"42","1171492536516370432"
"43","1171492463380332544"
"44","1171492348548665344"
"45","1171489853323673601"
"46","1171489308332584968"
"47","1171489031919558656"
"48","1171489059333476352"
"49","1171488721520095232"
"50","1171488229586952194"
"51","1171488227661770752"
"52","1171488055871410176"
"53","1171487277094096904"
"54","1171218436581666816"
"55","1171487042431176705"
"56","1171218108989788161"
"57","1171486958620573698"
"58","1171219614858186756"
"59","1171220221572653061"
"60","1171486918875348993"
"61","1171486173992112128"
"62","1171226761855737857"
"63","1171485574022086658"
"64","1171485416555302926"
"65","1171466250989400067"
"66","1171485178423734274"
"67","1171483947575832584"
"68","1171483670617546759"
"69","1171202082323488768"
"70","1171472288815861760"
"71","1171386503710334976"
"72","1171341606231924736"
"73","1171390561561063425"
"74","1171188218806640642"
"75","1171482956247916544"
"76","1171257854541672448"
"77","1171291112289591296"
"78","1171481846892257280"
"79","1171212016838684672"
"80","1171481192798908419"
"81","1171419250055090177"
"82","1171480935348355072"
"83","1171479785765142530"
"84","1171479621327474688"
"85","1171336198683549698"
"86","1171393272859766784"
"87","1171411183854870528"
"88","1171384084402245632"
"89","1171479078244777984"
"90","1171430968973938691"
"91","1171411495797829632"
"92","1171478426873520128"
"93","1171477150576201728"
"94","1171475788173938689"
"95","1171475021375557634"
"96","1171474379508600833"
"97","1171473578069385216"
"98","1171473479343886339"
"99","1171472825950953481"
"100","1171177444113604608"
"101","1171222619099713536"
"102","1171471934166425600"
"103","1171471097595756544"
"104","1171417054831894529"
"105","1171471707288137728"
"106","1171471624819765249"
"107","1171471165228908544"
"108","1171470991236558855"
"109","1171470154258976770"
"110","1171469976382791680"
"111","1171469871684571136"
"112","1171469035298381824"
"113","1171468892381728770"
"114","1171467761517649921"
"115","1171321812845826048"
"116","1171265598745206784"
"117","1171266991694499840"
"118","1171321885981908992"
"119","1171268479946756096"
"120","1171465392033685506"
"121","1171209238686904320"
"122","1171464622378893312"
"123","1171464615760257027"
"124","1171463283322130432"
"125","1171462538271154179"
"126","1171462203276328960"
"127","1171462068383313923"
"128","1171461822819340295"
"129","1171460620203380738"
"130","1171459413732839425"
"131","1171458999545286663"
"132","1171426704767631361"
"133","1171215568243974145"
"134","1171181598366154753"
"135","1171458936773332994"
"136","1171167636044034049"
"137","1171160501772050433"
"138","1171458802576588801"
"139","1171435981670473730"
"140","1171457348784640000"
"141","1171455754756190210"
"142","1171455369345785856"
"143","1171454738480500737"
"144","1171454564760862725"
"145","1171454556577792001"
"146","1171453213737750529"
"147","1171452328127299585"
"148","1171450829590556672"
"149","1171449895456083973"
"150","1171203909899182081"
"151","1171449360409718785"
"152","1171448728051273729"
"153","1171448624334557184"
"154","1171445055812333569"
"155","1171447647560847367"
"156","1171208807764152322"
"157","1171447007967186944"
"158","1171446922843803648"
"159","1171446353441898497"
"160","1171442268948975616"
"161","1171247952276480000"
"162","1171446107122987009"
"163","1171446095563517952"
"164","1171445661385932801"
"165","1171445135499857923"
"166","1171445075999506439"
"167","1171445001257025538"
"168","1171444489459601415"
"169","1171444097820717057"
"170","1171443983496531973"
"171","1171443756563755008"
"172","1171443715518255104"
"173","1171442603771846656"
"174","1171442412788445185"
"175","1171442068045983744"
"176","1171441048159019008"
"177","1171440873193623554"
"178","1171440560705400832"
"179","1171439923129286657"
"180","1171439815889309697"
"181","1171201431635988480"
"182","1171438979444441091"
"183","1171438391646285835"
